Age,Gender,Country,City,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Credit_Balance,Signup_Quarter
35.0,Male,USA,Houston,1.9,8.0,24.0,12.1,62.0,2.0,19.5,217.05,68.0,80.52,7.7,17.1,9.0,1.0,43.6,18.2,3.0,2906.08,2733.0,Q4
,Female,USA,Phoenix,0.9,9.0,18.3,4.0,52.2,3.0,16.0,69.16,76.0,13.7,3.0,31.0,7.0,1.0,47.6,20.9,2.0,1316.96,1314.0,Q1
57.0,Male,India,Chennai,1.7,12.0,,,78.1,4.0,12.0,92.56,44.0,,5.9,7.2,7.0,,16.8,15.5,1.0,1075.92,1137.0,Q1
51.0,Male,UK,London,2.4,9.0,21.5,6.1,67.3,3.0,19.5,70.74,6.0,40.68,2.3,11.5,5.0,2.0,15.7,4.0,3.0,1158.46,270.0,Q4
44.0,Female,India,Mumbai,8.5,8.0,15.0,9.4,57.4,5.0,10.0,242.13,15.0,24.3,1.2,22.8,6.0,0.0,46.9,3.9,2.0,2319.49,1531.0,Q2
52.0,Female,UK,Manchester,3.1,14.0,23.7,,74.4,3.0,8.0,69.16,19.0,18.9,1.7,5.1,9.0,4.0,28.9,8.1,2.0,505.17,1520.0,Q1
49.0,Male,USA,Houston,0.6,22.0,51.6,16.2,30.6,8.0,18.0,179.01,13.0,17.6,4.5,45.0,4.0,11.0,,30.1,3.0,3426.21,3188.0,Q2
46.0,Male,USA,Houston,0.3,6.0,28.9,11.3,49.9,6.0,26.0,68.07,8.0,22.56,7.5,,6.0,3.0,,16.4,4.0,1419.01,3805.0,Q4
42.0,Male,France,Paris,1.7,25.0,39.8,12.4,43.1,6.0,21.0,79.79,46.0,53.6,13.7,24.6,5.0,3.0,36.6,26.6,5.0,1805.82,3738.0,Q3
29.0,Female,India,Hyderabad,2.1,0.0,5.1,5.2,67.1,1.0,4.0,247.31,32.0,48.6,12.4,0.0,7.0,1.0,0.0,10.3,3.0,1000.5,349.0,Q3
,Male,USA,Los Angeles,1.1,27.0,49.4,,16.7,12.0,35.1,122.73,7.0,90.36,,58.5,0.0,7.0,69.5,41.9,1.0,3271.23,4139.0,Q4
40.0,Male,Germany,Munich,2.5,14.0,29.2,8.2,54.3,4.0,19.5,150.54,8.0,6.119999999999999,2.5,49.8,5.0,2.0,30.7,21.6,2.0,2197.28,2046.0,Q4
18.0,Male,Germany,Berlin,3.3,21.0,41.1,,44.4,9.0,22.1,125.23,3.0,54.35999999999999,2.7,41.9,2.0,5.0,45.2,31.4,5.0,1922.97,3975.0,Q4
49.0,Male,USA,Los Angeles,1.8,10.0,24.6,7.7,78.1,1.0,11.0,217.19,85.0,,7.7,3.9,5.0,5.0,18.6,19.4,3.0,2026.67,,Q3
20.0,Male,USA,Los Angeles,2.5,10.0,9.1,3.9,64.5,2.0,7.800000000000001,195.31,11.0,75.72,24.4,16.2,11.0,1.0,25.8,14.3,,1155.27,1298.0,Q4
47.0,Male,Canada,Montreal,1.9,10.0,24.6,9.2,60.4,5.0,22.1,160.92,27.0,42.6,7.9,29.0,6.0,4.0,40.9,17.2,2.0,2475.83,0.0,Q4
,Male,India,Bangalore,2.3,6.0,25.4,9.5,61.5,3.0,13.0,114.04,29.0,92.52,8.7,21.1,4.0,4.0,41.9,24.3,4.0,1242.98,2289.0,Q4
44.0,Female,Japan,Tokyo,6.7,18.0,34.7,10.5,45.2,6.0,20.0,233.28,,63.6,8.1,2.6,11.0,3.0,24.4,14.2,2.0,3970.89,794.0,Q3
31.0,Female,USA,New York,3.3,14.0,19.5,,60.8,3.0,11.7,238.39,42.0,65.64,,4.5,7.0,1.0,21.8,14.2,2.0,1925.93,1106.0,Q4
56.0,Female,Australia,Brisbane,2.8,30.0,42.1,14.0,50.9,13.0,20.0,142.06,18.0,,4.7,32.3,3.0,9.0,57.4,39.6,2.0,2606.77,3851.0,Q3
28.0,Female,USA,Chicago,2.1,29.0,47.3,15.2,26.4,9.0,22.0,178.88,,38.8,5.4,43.5,2.0,5.0,22.9,37.9,3.0,4259.41,3964.0,Q1
40.0,Female,Japan,Osaka,2.5,10.0,31.9,5.3,48.1,7.0,14.0,113.92,28.0,56.3,6.9,26.2,4.0,,33.8,22.3,2.0,1814.75,2333.0,Q3
,Other,USA,Phoenix,2.2,7.0,32.8,7.0,68.5,3.0,7.0,303.7,13.0,14.4,2.0,0.0,6.0,1.0,2.5,6.8,1.0,1744.62,2801.0,Q1
45.0,Female,Canada,Calgary,0.1358200926738552,11.0,,7.1,60.7,7.0,60.0,149.03,10.0,44.9,95.26450417120893,26.0,9.0,,42.5,12.5,1.0,2017.74,1268.0,Q3
30.0,Other,USA,Los Angeles,2.6,11.0,23.7,10.7,54.7,4.0,16.900000000000002,83.52,7.0,10.2,3.0,6.2,7.0,4.0,,21.3,4.0,1038.54,2232.0,Q4
32.0,Female,Germany,Frankfurt,6.4,19.0,32.4,13.0,38.1,6.0,18.0,200.15,,24.0,5.9,23.5,2.0,6.0,47.3,19.9,4.0,2930.59,2291.0,Q1
32.0,Male,USA,Los Angeles,6.2,13.0,31.9,8.5,39.7,7.0,11.0,169.95,18.0,67.6,11.2,12.6,12.0,1.0,10.4,,2.0,1980.29,563.0,Q3
35.0,Male,USA,New York,2.5,7.0,23.2,8.7,61.7,6.0,11.0,80.84,65.0,58.5,11.0,9.1,8.0,2.0,0.0,18.9,1.0,761.03,2349.0,Q2
54.0,Male,France,Marseille,2.8,4.0,25.6,3.5,73.7,0.0,5.0,57.86,45.0,20.1,4.5,1.6,6.0,0.0,0.6,17.7,,267.47,1735.0,Q2
58.0,Other,India,Delhi,2.4,0.0,18.0,3.2,82.0,1.0,5.2,85.26,19.0,72.24,3.3,0.0,8.0,1.0,0.0,6.2,2.0,350.04,2727.0,Q4
43.0,Male,Canada,Ottawa,2.1,8.0,35.9,12.1,41.6,,17.0,75.35,11.0,53.0,5.9,12.4,4.0,,10.6,25.3,2.0,1272.25,2528.0,Q3
46.0,Female,USA,Los Angeles,3.6,17.0,28.6,12.0,39.1,5.0,15.0,258.45,12.0,80.1,4.5,31.0,2.0,5.0,33.6,27.6,3.0,3769.72,1862.0,Q2
47.0,Female,USA,Los Angeles,4.7,6.0,22.2,5.7,43.7,4.0,9.0,90.24,33.0,83.6,5.9,10.6,7.0,4.0,46.7,15.3,3.0,658.88,,Q1
20.0,Female,UK,Glasgow,1.3,15.0,25.0,8.3,32.4,3.0,14.0,127.82,48.0,44.8,5.6,18.6,9.0,,39.0,24.7,2.0,1656.14,3202.0,Q2
18.0,Female,USA,New York,1.6,15.0,11.1,,41.3,,8.0,99.87,57.0,56.1,10.0,24.4,3.0,,1.3,15.5,2.0,844.07,1274.0,Q3
,Male,USA,Los Angeles,2.1,4.0,23.2,5.5,63.7,0.0,7.800000000000001,149.91,10.0,64.55999999999999,10.3,22.4,5.0,2.0,0.0,5.9,1.0,1057.02,,Q4
51.0,Male,USA,New York,0.2,4.0,,3.7,62.4,2.0,14.3,122.6,14.0,61.92,2.9,17.1,2.0,4.0,31.7,16.0,4.0,1306.36,2520.0,Q4
55.0,Male,UK,Glasgow,0.1,0.0,9.9,6.3,66.1,1.0,7.0,129.68,25.0,52.2,3.2,9.4,7.0,1.0,0.0,11.4,1.0,763.45,48.0,Q1
38.0,Female,USA,New York,5.1,4.0,25.6,4.5,76.3,0.0,6.5,94.28,1.0,8.28,6.2,0.7,6.0,1.0,25.8,,5.0,388.82,686.0,Q4
34.0,Female,Japan,Nagoya,1.2,15.0,43.0,13.7,36.6,9.0,15.0,52.92,3.0,24.0,6.5,35.1,4.0,1.0,42.8,,4.0,737.91,4641.0,Q1
62.0,Female,UK,Birmingham,4.7,0.0,15.7,5.0,63.8,4.0,4.0,96.61,,48.9,2.6,,6.0,0.0,29.8,,3.0,409.68,1297.0,Q1
,Female,India,Bangalore,3.1,19.0,46.7,14.3,34.7,,26.0,84.51,11.0,49.0,3.3,35.8,3.0,,49.9,44.6,4.0,2584.36,2829.0,Q3
27.0,Male,Germany,Frankfurt,3.8,10.0,29.4,7.2,57.4,5.0,12.0,111.31,15.0,22.0,17.8,33.2,8.0,2.0,24.5,30.3,,1385.1,151.0,Q3
41.0,Male,Australia,Perth,2.1,9.0,32.6,11.1,56.9,4.0,8.0,133.69,17.0,15.7,11.9,16.9,6.0,6.0,20.7,27.9,1.0,1259.83,,Q1
52.0,Female,USA,New York,2.4,8.0,15.5,7.2,67.5,2.0,18.0,132.75,31.0,39.2,2.5,,6.0,3.0,52.2,8.8,1.0,1991.07,0.0,Q1
32.0,Male,USA,Houston,6.5,20.0,20.0,6.6,72.6,3.0,9.0,191.5,1.0,39.1,4.3,3.6,4.0,3.0,7.0,17.7,2.0,1849.82,200.0,Q3
18.0,Male,Australia,Perth,0.5,26.0,56.7,19.6,36.4,13.0,29.0,120.86,16.0,32.9,6.6,48.7,1.0,,71.0,43.4,2.0,3087.23,3337.0,Q3
47.0,Male,India,Bangalore,6.1,5.0,18.9,7.6,73.8,1.0,8.0,109.27,,,11.3,32.7,5.0,,30.6,12.7,1.0,705.47,1575.0,Q1
31.0,Female,USA,New York,3.5,21.0,45.2,15.7,24.0,9.0,20.0,138.27,5.0,62.2,4.9,65.1,2.0,4.0,,34.0,,2855.61,2860.0,Q3
75.0,Male,USA,Chicago,0.4,17.0,19.5,4.7,60.5,5.0,12.0,50.8,60.0,50.3,2.5,29.8,5.0,1.0,,20.3,1.0,510.03,4029.0,Q1
,Male,USA,New York,6.4,21.0,24.5,14.8,51.2,7.0,17.0,213.33,44.0,44.3,13.5,20.1,5.0,5.0,45.0,,2.0,4218.62,,Q2
32.0,Male,India,Bangalore,3.0,10.0,19.2,9.8,57.8,3.0,16.900000000000002,140.13,27.0,46.08,2.7,16.9,3.0,0.0,17.0,21.7,1.0,1914.11,2723.0,Q4
38.0,Female,USA,Houston,2.0,8.0,29.9,4.9,43.9,4.0,10.0,123.34,11.0,13.6,0.6,0.0,3.0,2.0,,,3.0,1252.72,1141.0,Q3
51.0,Female,USA,Los Angeles,0.1,21.0,44.1,,20.1,15.0,27.0,218.65,4.0,53.6,0.8,43.3,2.0,4.0,66.3,26.5,2.0,5971.65,,Q2
34.0,Male,UK,Glasgow,0.9,10.0,31.6,14.2,65.1,,12.0,87.34,3.0,35.9,3.7,33.8,3.0,4.0,36.6,21.4,2.0,975.19,,Q2
56.0,Female,France,Marseille,2.9,2.0,20.5,5.4,66.9,2.0,5.2,121.26,32.0,47.52,,0.0,4.0,0.0,29.8,6.3,2.0,469.12,3129.0,Q4
22.0,Other,USA,Los Angeles,2.7,10.0,7.9,5.0,89.8,1.0,6.0,114.42,2.0,28.9,10.1,9.0,10.0,1.0,0.0,16.7,2.0,801.72,,Q3
50.0,Female,USA,New York,1.5,17.0,26.2,9.7,50.2,2.0,17.0,69.18,9.0,14.1,8.1,14.3,6.0,,10.5,19.1,1.0,1393.52,,Q3
41.0,Female,Canada,Toronto,3.4,9.0,30.9,2.5,61.5,3.0,8.0,112.2,0.0,,,,6.0,1.0,,18.7,,722.01,3010.0,Q1
36.0,Male,Germany,Cologne,1.8,6.0,28.5,7.3,67.9,0.0,7.800000000000001,220.45,,18.36,12.1,0.0,8.0,2.0,11.4,10.4,2.0,1203.74,0.0,Q4
30.0,Male,USA,New York,1.3,1.0,22.6,2.3,81.1,1.0,8.0,44.56,1.0,57.4,2.1,1.7,9.0,1.0,2.6,5.9,4.0,359.46,,Q3
35.0,Female,Germany,Hamburg,1.4,9.0,,3.1,73.4,6.0,6.0,90.5,74.0,14.5,11.1,5.9,6.0,2.0,0.0,8.1,2.0,489.42,878.0,Q3
,Female,UK,Leeds,6.9,16.0,26.2,8.1,53.4,6.0,11.0,167.95,38.0,19.2,4.1,3.5,3.0,0.0,33.3,18.0,2.0,1678.48,2374.0,Q1
18.0,Female,USA,Houston,5.4,0.0,22.5,4.8,60.6,0.0,5.0,63.31,7.0,33.6,,12.4,6.0,1.0,,9.4,5.0,373.96,,Q3
44.0,Female,France,Paris,3.0,18.0,,11.7,62.4,10.0,17.0,155.39,29.0,31.8,6.9,31.1,2.0,2.0,,33.6,,2877.39,2281.0,Q1
38.0,Male,USA,Chicago,3.2,16.0,27.0,,36.2,4.0,14.0,178.15,43.0,43.2,13.4,22.1,6.0,2.0,1.9,27.9,1.0,2521.22,2225.0,Q1
34.0,Female,Canada,Vancouver,2.1,17.0,24.4,7.5,59.2,,16.900000000000002,138.09,15.0,14.88,,16.7,6.0,2.0,35.5,23.7,2.0,1479.97,177.0,Q4
49.0,Female,USA,Chicago,1.4,21.0,41.8,9.7,51.0,5.0,15.6,56.27,10.0,57.0,7.2,26.0,3.0,2.0,11.2,34.0,2.0,791.03,,Q4
36.0,Male,Australia,Adelaide,3.9,5.0,10.4,7.0,77.7,3.0,7.0,170.18,16.0,40.9,8.8,13.4,8.0,2.0,39.5,14.8,4.0,962.15,2235.0,Q3
47.0,Male,USA,New York,0.9,22.0,43.0,12.4,45.4,8.0,24.0,97.75,18.0,26.0,6.0,31.9,2.0,5.0,,37.9,2.0,2366.04,2655.0,Q3
44.0,Female,UK,Manchester,3.0,8.0,12.9,4.6,80.6,4.0,9.0,177.66,19.0,19.7,0.6,,9.0,1.0,9.8,10.9,2.0,1603.71,1346.0,Q3
49.0,Male,USA,New York,0.9,19.0,23.3,5.2,68.2,0.0,8.0,231.14,18.0,10.9,3.4,0.0,6.0,3.0,0.0,,3.0,1979.85,796.0,Q2
62.0,Female,Germany,Munich,1.7,0.0,12.2,5.2,70.3,1.0,2.6,93.81,26.0,51.48,8.2,,9.0,1.0,0.0,0.0,2.0,174.01,0.0,Q4
18.0,Male,France,Nice,4.0,10.0,20.0,7.0,64.1,2.0,7.0,109.82,16.0,45.1,,0.0,5.0,4.0,47.3,6.2,1.0,756.52,882.0,Q3
26.0,Female,USA,Chicago,8.5,11.0,32.6,10.6,52.8,8.0,12.0,195.32,44.0,29.7,1.1,20.6,3.0,4.0,35.1,27.6,2.0,2713.84,2434.0,Q1
39.0,Male,UK,London,3.7,22.0,28.2,7.9,43.6,3.0,19.0,94.92,76.0,73.9,8.0,1.3,13.0,4.0,13.7,12.0,4.0,1857.95,1895.0,Q2
43.0,Male,Germany,Frankfurt,9.8,11.0,13.1,9.6,64.5,2.0,10.4,79.87,18.0,,3.6,17.3,6.0,,3.9,14.8,2.0,581.71,0.0,Q4
26.0,Female,Australia,Perth,0.6,6.0,31.3,9.1,48.2,3.0,14.3,96.64,11.0,37.44,2.2,16.5,11.0,2.0,51.1,20.0,3.0,1264.85,2707.0,Q4
,Female,USA,Houston,6.9,0.0,,5.2,60.1,0.0,5.0,154.69,,50.4,12.5,,9.0,0.0,7.8,6.3,,684.42,1065.0,Q1
58.0,Female,Germany,Munich,1.1,7.0,21.8,5.7,73.6,3.0,6.0,99.86,21.0,44.4,12.0,,4.0,1.0,20.4,15.4,2.0,673.24,1109.0,Q1
50.0,Female,USA,Chicago,0.4,16.0,39.1,9.7,31.8,,17.0,140.97,47.0,20.8,3.9,22.8,3.0,3.0,12.4,22.5,2.0,2483.45,1704.0,Q2
27.0,Female,UK,Manchester,2.2,7.0,24.1,8.4,62.4,3.0,9.0,168.18,20.0,24.6,,16.5,5.0,4.0,33.1,25.2,5.0,1399.98,1782.0,Q1
28.0,Female,France,Paris,5.8,9.0,25.4,8.7,44.1,3.0,11.0,55.13,23.0,45.3,2.1,20.1,6.0,1.0,9.1,17.9,1.0,506.74,3367.0,Q2
42.0,Female,USA,Los Angeles,0.5,8.0,19.8,,72.6,2.0,7.0,156.37,2.0,17.9,1.9,0.0,6.0,0.0,21.6,13.6,1.0,1297.59,1211.0,Q1
18.0,Female,France,Marseille,1.4,0.0,21.2,4.6,66.8,0.0,12.0,102.75,16.0,,5.3,1.8,7.0,2.0,0.0,13.4,2.0,1331.85,0.0,Q2
39.0,Female,USA,New York,3.1,22.0,36.6,9.2,26.1,4.0,20.0,185.93,68.0,45.2,12.2,32.3,5.0,4.0,47.1,25.5,2.0,4442.46,2961.0,Q1
47.0,Male,Germany,Berlin,1.6,5.0,11.5,3.7,75.4,0.0,3.9,187.33,45.0,69.96,1.2,0.0,8.0,1.0,0.0,16.3,4.0,472.77,0.0,Q4
51.0,Female,USA,Los Angeles,0.8,12.0,14.5,7.4,75.6,4.0,11.7,110.51,18.0,18.12,2.6,27.0,7.0,1.0,,,2.0,904.07,2101.0,Q4
69.0,Female,USA,Houston,0.8,24.0,35.5,9.6,49.1,5.0,15.0,157.83,17.0,19.3,5.0,22.3,6.0,4.0,17.7,30.7,2.0,2815.42,2880.0,Q3
35.0,Female,Australia,Adelaide,3.3,29.0,32.9,14.3,38.8,7.0,24.0,101.32,,21.8,2.5,31.3,2.0,3.0,36.7,29.9,2.0,2252.35,2665.0,Q1
20.0,Male,USA,Phoenix,0.9,18.0,43.9,8.4,44.2,10.0,15.0,111.53,1.0,36.9,12.3,48.1,4.0,5.0,62.6,27.4,2.0,1991.32,3544.0,Q2
52.0,Male,Australia,Brisbane,4.6,13.0,24.0,7.2,66.1,3.0,12.0,102.16,15.0,11.2,18.9,23.6,5.0,,28.7,21.6,5.0,1417.12,2187.0,Q3
55.0,Male,UK,London,4.3,6.0,12.4,8.8,60.5,2.0,7.0,64.95,8.0,63.8,3.9,0.0,6.0,2.0,16.6,9.6,1.0,456.93,0.0,Q3
,Female,India,Hyderabad,1.9,6.0,25.3,8.0,67.2,2.0,7.0,178.42,16.0,19.4,3.4,16.3,10.0,3.0,,,1.0,1360.84,472.0,Q3
30.0,Male,Germany,Hamburg,1.4,10.0,15.0,8.5,54.4,3.0,11.7,111.07,,,8.1,4.6,4.0,5.0,52.6,18.0,2.0,1121.88,807.0,Q4
47.0,Female,Germany,Hamburg,4.6,5.0,22.8,5.1,60.7,2.0,5.0,120.08,27.0,17.5,0.1,0.0,6.0,0.0,0.0,15.0,1.0,525.06,1901.0,Q1
50.0,Male,UK,Glasgow,2.1,20.0,52.1,10.1,34.4,7.0,18.0,168.04,27.0,46.6,0.8,33.9,3.0,7.0,37.7,33.2,3.0,3592.22,4364.0,Q2
42.0,Other,India,Hyderabad,0.2,10.0,20.8,11.9,67.1,4.0,10.0,117.46,54.0,8.4,10.1,23.0,2.0,2.0,25.8,,1.0,1389.86,,Q2
33.0,Other,USA,New York,5.0,1.0,12.3,5.5,81.5,1.0,5.0,72.46,,63.2,22.3,0.0,7.0,3.0,,17.5,5.0,383.14,0.0,Q3
36.0,Male,UK,Manchester,1.9,9.0,,6.0,62.8,2.0,12.0,70.19,7.0,75.1,4.4,7.0,7.0,4.0,,17.9,2.0,831.25,1224.0,Q2
46.0,Female,Canada,Montreal,1.8,4.0,20.7,5.1,70.8,1.0,26.0,193.96,11.0,69.1,2.5,0.9,5.0,0.0,0.0,3.2,3.0,4448.58,1361.0,Q2
31.0,Male,USA,Houston,3.0,24.0,32.7,15.1,40.4,7.0,19.0,127.19,15.0,34.6,10.2,32.5,1.0,6.0,42.9,33.9,2.0,1947.09,3192.0,Q1
27.0,Male,France,Nice,2.6,8.0,7.3,3.7,78.3,,5.0,141.06,3.0,30.4,5.8,6.3,,0.0,0.0,2.3,1.0,668.24,342.0,Q2
49.0,Male,USA,Chicago,1.8,12.0,20.2,6.7,50.8,0.0,7.0,64.78,3.0,29.5,4.5,9.8,6.0,3.0,27.2,7.6,3.0,368.8,2677.0,Q3
45.0,Female,USA,Houston,3.9,20.0,38.3,14.3,38.8,,17.0,131.91,8.0,,2.7,16.1,4.0,4.0,34.4,28.9,1.0,2574.57,,Q1
22.0,Female,UK,Glasgow,3.2,12.0,25.7,9.7,70.9,3.0,13.0,110.73,21.0,12.48,3.7,34.5,4.0,2.0,19.3,18.5,1.0,1132.73,2142.0,Q4
40.0,Female,USA,Phoenix,5.4,14.0,32.8,9.6,30.9,5.0,15.0,78.56,53.0,17.4,9.9,16.9,3.0,6.0,58.3,26.9,1.0,1214.3,288.0,Q2
53.0,Female,Germany,Cologne,0.5,7.0,31.7,9.1,46.8,,12.0,125.64,28.0,53.9,19.9,32.0,6.0,2.0,,,2.0,1326.64,599.0,Q3
39.0,Male,Canada,Vancouver,0.7,6.0,31.6,12.5,74.9,7.0,9.0,128.4,7.0,25.5,4.8,26.8,6.0,1.0,0.0,22.1,5.0,1092.3,3323.0,Q3
43.0,Male,UK,Glasgow,4.8,8.0,22.8,,40.7,4.0,5.0,99.32,73.0,15.2,1.8,11.5,2.0,3.0,19.4,,2.0,406.79,225.0,Q1
32.0,Male,Germany,Berlin,3.2,0.0,11.1,,83.1,1.0,6.5,93.77,3.0,47.52,2.9,0.0,9.0,0.0,0.0,,,395.58,,Q4
36.0,Male,Canada,Montreal,1.8,24.0,40.6,13.7,34.4,12.0,23.4,162.08,20.0,84.36,1.3,36.0,4.0,,54.3,32.6,1.0,3210.97,2792.0,Q4
19.0,Female,Germany,Hamburg,0.1730326668015044,1.0,18.3,5.3,68.7,3.0,53.0,117.62,23.0,56.8,86.43072656975448,,9.0,0.0,30.0,15.0,5.0,1888.55,1480.0,Q3
65.0,Female,Canada,Ottawa,0.5,14.0,34.8,9.9,47.9,7.0,10.0,185.57,72.0,28.2,6.4,21.7,6.0,2.0,26.2,23.0,3.0,2023.48,1598.0,Q2
53.0,Male,USA,New York,8.8,11.0,23.6,8.7,53.9,3.0,10.0,172.37,14.0,34.4,13.1,18.5,11.0,4.0,4.0,18.7,2.0,1437.16,,Q3
30.0,Female,USA,Los Angeles,2.5,17.0,30.3,13.6,54.3,9.0,11.0,116.55,11.0,63.9,0.2,30.2,6.0,1.0,,12.7,1.0,1178.51,3240.0,Q2
33.0,Female,UK,Manchester,6.9,7.0,13.7,6.8,65.7,3.0,5.0,104.69,10.0,56.4,13.3,,4.0,1.0,13.9,,4.0,488.44,1646.0,Q1
31.0,Male,Canada,Montreal,0.8,13.0,19.3,4.1,42.1,3.0,5.0,53.1,49.0,7.9,6.6,13.9,8.0,1.0,0.0,4.7,,214.77,1094.0,Q1
28.0,Male,USA,Chicago,3.4,17.0,33.6,11.9,42.1,10.0,15.0,297.43,57.0,31.9,10.1,21.2,6.0,4.0,68.5,30.0,2.0,5089.54,3923.0,Q1
49.0,Male,USA,Phoenix,1.7,7.0,23.0,3.2,73.5,6.0,8.0,150.97,10.0,36.6,8.1,6.1,6.0,1.0,27.6,17.4,3.0,993.29,462.0,Q2
38.0,Female,Canada,Toronto,1.5,34.0,49.5,12.9,42.4,9.0,19.0,111.48,19.0,37.9,5.7,42.7,5.0,6.0,52.9,32.3,2.0,1936.82,,Q3
37.0,Male,UK,Leeds,0.6,12.0,23.9,8.2,64.5,4.0,11.0,73.68,132.0,32.2,5.3,25.3,6.0,3.0,17.5,19.0,1.0,814.54,634.0,Q3
22.0,Male,Canada,Vancouver,0.4,17.0,18.5,14.2,46.3,6.0,12.0,96.17,23.0,62.2,2.5,28.2,5.0,1.0,,19.7,3.0,928.72,1426.0,Q3
33.0,Male,France,Toulouse,6.6,22.0,47.1,10.9,58.9,5.0,15.0,241.32,42.0,4.5,1.9,21.2,8.0,4.0,61.4,14.3,3.0,3214.15,2507.0,Q2
28.0,Male,USA,New York,2.4,17.0,38.0,14.8,46.7,6.0,18.0,203.35,86.0,,1.5,16.5,2.0,7.0,68.3,29.0,1.0,3638.27,1804.0,Q3
43.0,Male,USA,Phoenix,1.9,5.0,22.1,6.7,53.8,6.0,11.0,192.83,48.0,34.9,2.1,,3.0,0.0,,20.5,1.0,2342.25,0.0,Q1
48.0,Male,Canada,Montreal,5.4,15.0,35.5,8.6,71.9,2.0,10.0,246.77,23.0,57.1,7.3,16.4,9.0,1.0,20.2,16.1,2.0,1995.03,1181.0,Q1
49.0,Male,Australia,Melbourne,0.6,5.0,29.6,11.1,42.7,,19.5,128.57,19.0,49.68,13.3,37.4,6.0,8.0,57.1,24.2,1.0,1819.79,1850.0,Q4
59.0,Male,Canada,Ottawa,1.0,12.0,36.6,9.1,59.4,4.0,14.0,214.82,3.0,50.8,8.2,24.6,7.0,3.0,16.6,17.3,3.0,3318.46,1285.0,Q1
21.0,Female,Canada,Montreal,3.6,12.0,7.4,3.1,88.0,,3.0,133.67,33.0,82.8,,2.2,8.0,1.0,1.5,16.2,2.0,355.99,0.0,Q2
51.0,Male,USA,Los Angeles,1.2,17.0,25.2,9.6,47.5,4.0,12.0,88.38,1.0,30.8,8.2,32.6,3.0,4.0,32.0,24.1,2.0,1111.22,2495.0,Q2
20.0,Female,UK,Manchester,0.9,5.0,25.4,10.8,52.5,5.0,17.0,166.43,30.0,79.5,15.0,19.2,4.0,3.0,0.0,20.0,2.0,2680.76,0.0,Q2
53.0,Male,UK,Manchester,1.4,0.0,6.0,5.2,67.3,0.0,5.0,134.2,28.0,47.5,1.5,0.0,7.0,2.0,0.0,11.3,2.0,780.5,0.0,Q3
46.0,Other,UK,Birmingham,5.9,12.0,12.4,9.1,51.7,1.0,10.0,187.77,26.0,,5.5,15.0,3.0,,19.9,25.3,1.0,1817.97,1308.0,Q2
,Male,France,Toulouse,5.7,8.0,23.2,2.3,82.9,1.0,11.0,87.71,36.0,38.5,24.5,1.9,10.0,0.0,9.1,19.4,2.0,980.35,2217.0,Q1
41.0,Male,Germany,Berlin,2.3,5.0,9.1,2.6,50.6,1.0,10.4,115.77,52.0,58.08,1.4,2.0,5.0,0.0,19.5,3.5,3.0,786.94,801.0,Q4
22.0,Female,USA,New York,5.3,19.0,45.7,17.3,26.1,12.0,26.0,88.46,,37.6,1.1,52.4,2.0,5.0,72.2,38.3,2.0,2236.82,4043.0,Q3
37.0,Female,UK,Birmingham,2.5,23.0,52.6,17.8,21.1,15.0,23.0,129.12,6.0,34.6,3.8,40.0,5.0,12.0,84.1,39.9,2.0,3099.89,3153.0,Q2
46.0,Male,USA,Los Angeles,1.9,20.0,45.2,14.2,27.4,9.0,25.0,90.42,65.0,30.3,5.9,42.1,5.0,7.0,82.1,28.2,4.0,2307.92,3335.0,Q2
44.0,Male,UK,Glasgow,2.1,8.0,43.0,8.2,60.8,4.0,11.0,97.26,5.0,80.4,1.2,20.5,4.0,2.0,44.1,27.3,2.0,1057.63,,Q2
38.0,Female,USA,Chicago,1.1,8.0,25.1,8.0,51.3,,14.3,103.61,,41.52,18.8,16.6,7.0,1.0,35.3,16.6,3.0,1152.81,1933.0,Q4
,Male,USA,New York,0.7,12.0,16.6,9.3,87.8,,11.0,153.27,74.0,17.9,8.0,4.0,9.0,,13.5,14.9,2.0,1579.69,501.0,Q2
26.0,Male,Germany,Cologne,1.8,9.0,20.6,5.9,67.7,1.0,6.0,136.6,10.0,7.7,,,6.0,1.0,14.4,,3.0,673.51,739.0,Q1
35.0,Female,Canada,Toronto,1.0,15.0,18.8,10.5,63.5,3.0,10.4,128.68,31.0,32.4,,21.8,5.0,1.0,16.7,10.3,2.0,838.33,1256.0,Q4
,Female,Australia,Melbourne,2.9,12.0,36.7,8.6,55.8,5.0,15.0,134.63,75.0,73.8,,44.3,2.0,5.0,48.9,25.7,2.0,1891.38,3803.0,Q1
28.0,Male,France,Lyon,6.0,8.0,45.3,,47.0,10.0,20.0,87.56,85.0,42.3,4.6,38.7,2.0,1.0,48.0,,5.0,1566.8,5703.0,Q1
52.0,Female,Germany,Munich,4.4,2.0,33.4,,68.8,0.0,9.0,66.8,1.0,61.7,1.4,26.2,8.0,1.0,11.9,22.7,1.0,561.01,1328.0,Q2
